"NGA","Polity","Section","Subsection","Variable","Value.From","Value.To","Date.From","Date.To","Fact.Type","Value.Note","Date.Note","Comment"
"Paris Basin","FrHallD","Social Complexity variables","Professions","Professional soldiers","absent",NA,"","","simple","simple","",""
"Paris Basin","FrHallD","Social Complexity variables","Bureaucracy characteristics","Full-time bureaucrats","absent",NA,"","","simple","simple","",""
"Paris Basin","FrHallD","Social Complexity variables","Bureaucracy characteristics","Examination system","absent",NA,"","","simple","simple","",""
"Paris Basin","FrHallD","Social Complexity variables","Bureaucracy characteristics","Specialized government buildings","absent",NA,"","","simple","simple","",""
"Paris Basin","FrHallD","Social Complexity variables","Law","Formal legal code","absent",NA,"","","simple","simple","",""
"Paris Basin","FrHallD","Social Complexity variables","Law","Judges","absent",NA,"","","simple","simple","",""
"Paris Basin","FrHallD","Social Complexity variables","Law","Courts","absent",NA,"","","simple","simple","",""
"Paris Basin","FrHallD","Social Complexity variables","Specialized Buildings: polity owned","Communal buildings","present",NA,"","","simple","simple","",""
"Paris Basin","FrHallD","Social Complexity variables","Specialized Buildings: polity owned","Irrigation systems","unknown",NA,"","","simple","simple","",""
"Paris Basin","FrHallD","Social Complexity variables","Specialized Buildings: polity owned","Markets","present",NA,"","","simple","simple","",""
"Paris Basin","FrHallD","Social Complexity variables","Specialized Buildings: polity owned","Knowledge/information buildings","absent",NA,"","","simple","simple","",""
"Paris Basin","FrHallD","Social Complexity variables","Specialized Buildings: polity owned","Roads","present",NA,"","","simple","simple","",""
"Paris Basin","FrHallD","Social Complexity variables","Information","Written records","absent",NA,"","","simple","simple","",""
"Paris Basin","FrHallD","Social Complexity variables","Information","Script","absent",NA,"","","simple","simple","",""
"Paris Basin","FrHallD","Social Complexity variables","Information","Phonetic alphabetic writing","absent",NA,"","","simple","simple","",""
"Paris Basin","FrHallD","Social Complexity variables","Information","Calendar","absent",NA,"","","simple","simple","",""
"Paris Basin","FrHallD","Social Complexity variables","Information","Religious literature","absent",NA,"","","simple","simple","",""
"Paris Basin","FrHallD","Social Complexity variables","Information","Practical literature","absent",NA,"","","simple","simple","",""
"Paris Basin","FrHallD","Social Complexity variables","Information","History","absent",NA,"","","simple","simple","",""
"Paris Basin","FrHallD","Social Complexity variables","Information","Philosophy","absent",NA,"","","simple","simple","",""
"Paris Basin","FrHallD","Social Complexity variables","Other","Indigenous coins","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneA","Social Complexity variables","Hierarchical Complexity","Settlement hierarchy","3",NA,"","","simple","simple","",""
"Paris Basin","FrTeneA","Social Complexity variables","Hierarchical Complexity","Administrative levels","3",NA,"","","simple","simple","",""
"Paris Basin","FrTeneA","Social Complexity variables","Hierarchical Complexity","Religious levels","unknown",NA,"","","simple","simple","",""
"Paris Basin","FrTeneA","Social Complexity variables","Hierarchical Complexity","Military levels","3",NA,"","","simple","simple","",""
"Paris Basin","FrTeneA","Social Complexity variables","Professions","Professional military officers","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneA","Social Complexity variables","Professions","Professional soldiers","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneA","Social Complexity variables","Professions","Professional priesthood","present",NA,"","","simple","simple","",""
"Paris Basin","FrTeneA","Social Complexity variables","Bureaucracy characteristics","Full-time bureaucrats","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneA","Social Complexity variables","Bureaucracy characteristics","Examination system","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneA","Social Complexity variables","Bureaucracy characteristics","Specialized government buildings","unknown",NA,"","","simple","simple","",""
"Paris Basin","FrTeneA","Social Complexity variables","Law","Formal legal code","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneA","Social Complexity variables","Law","Judges","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneA","Social Complexity variables","Law","Courts","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneA","Social Complexity variables","Specialized Buildings: polity owned","Communal buildings","present",NA,"","","simple","simple","",""
"Paris Basin","FrTeneA","Social Complexity variables","Specialized Buildings: polity owned","Irrigation systems","unknown",NA,"","","simple","simple","",""
"Paris Basin","FrTeneA","Social Complexity variables","Specialized Buildings: polity owned","Markets","present",NA,"","","simple","simple","",""
"Paris Basin","FrTeneA","Social Complexity variables","Specialized Buildings: polity owned","Knowledge/information buildings","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneA","Social Complexity variables","Specialized Buildings: polity owned","Roads","present",NA,"","","simple","simple","",""
"Paris Basin","FrTeneA","Social Complexity variables","Information","Written records","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneA","Social Complexity variables","Information","Script","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneA","Social Complexity variables","Information","Phonetic alphabetic writing","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneA","Social Complexity variables","Information","Calendar","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneA","Social Complexity variables","Information","Religious literature","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneA","Social Complexity variables","Information","Practical literature","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneA","Social Complexity variables","Information","History","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneA","Social Complexity variables","Information","Philosophy","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneA","Social Complexity variables","Other","Indigenous coins","absent",NA,"","","complex","uncertain","",""
"Paris Basin","FrTeneA","Social Complexity variables","Other","Indigenous coins","present",NA,"","","complex","uncertain","",""
"Paris Basin","FrTeneB","Social Complexity variables","Hierarchical Complexity","Settlement hierarchy","4",NA,"","","simple","simple","",""
"Paris Basin","FrTeneB","Social Complexity variables","Hierarchical Complexity","Administrative levels","3",NA,"","","simple","simple","",""
"Paris Basin","FrTeneB","Social Complexity variables","Hierarchical Complexity","Religious levels","unknown",NA,"","","simple","simple","",""
"Paris Basin","FrTeneB","Social Complexity variables","Hierarchical Complexity","Military levels","4",NA,"","","simple","simple","",""
"Paris Basin","FrTeneB","Social Complexity variables","Professions","Professional military officers","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneB","Social Complexity variables","Professions","Professional soldiers","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneB","Social Complexity variables","Professions","Professional priesthood","present",NA,"","","simple","simple","",""
"Paris Basin","FrTeneB","Social Complexity variables","Bureaucracy characteristics","Full-time bureaucrats","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneB","Social Complexity variables","Bureaucracy characteristics","Examination system","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneB","Social Complexity variables","Bureaucracy characteristics","Specialized government buildings","present",NA,"","","simple","simple","",""
"Paris Basin","FrTeneB","Social Complexity variables","Law","Formal legal code","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneB","Social Complexity variables","Law","Judges","present",NA,"","","simple","simple","",""
"Paris Basin","FrTeneB","Social Complexity variables","Law","Courts","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneB","Social Complexity variables","Specialized Buildings: polity owned","Communal buildings","present",NA,"","","simple","simple","",""
"Paris Basin","FrTeneB","Social Complexity variables","Specialized Buildings: polity owned","Irrigation systems","unknown",NA,"","","simple","simple","",""
"Paris Basin","FrTeneB","Social Complexity variables","Specialized Buildings: polity owned","Markets","present",NA,"","","simple","simple","",""
"Paris Basin","FrTeneB","Social Complexity variables","Specialized Buildings: polity owned","Knowledge/information buildings","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneB","Social Complexity variables","Specialized Buildings: polity owned","Roads","present",NA,"","","simple","simple","",""
"Paris Basin","FrTeneB","Social Complexity variables","Information","Written records","present",NA,"","","simple","simple","",""
"Paris Basin","FrTeneB","Social Complexity variables","Information","Script","present",NA,"","","simple","simple","",""
"Paris Basin","FrTeneB","Social Complexity variables","Information","Phonetic alphabetic writing","present",NA,"","","simple","simple","",""
"Paris Basin","FrTeneB","Social Complexity variables","Information","Calendar","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneB","Social Complexity variables","Information","Religious literature","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneB","Social Complexity variables","Information","Practical literature","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneB","Social Complexity variables","Information","History","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneB","Social Complexity variables","Information","Philosophy","absent",NA,"","","simple","simple","",""
"Paris Basin","FrTeneB","Social Complexity variables","Other","Indigenous coins","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomLR","Social Complexity variables","Hierarchical Complexity","Settlement hierarchy","7",NA,"","","simple","simple","",""
"Paris Basin","ItRomLR","Social Complexity variables","Hierarchical Complexity","Administrative levels","3",4,"","","complex","range","",""
"Paris Basin","ItRomLR","Social Complexity variables","Hierarchical Complexity","Religious levels","4",NA,"","","simple","simple","",""
"Paris Basin","ItRomLR","Social Complexity variables","Hierarchical Complexity","Military levels","7",NA,"","","simple","simple","",""
"Paris Basin","ItRomLR","Social Complexity variables","Professions","Professional military officers","present",NA,"","","complex","disputed","",""
"Paris Basin","ItRomLR","Social Complexity variables","Professions","Professional military officers","absent",NA,"","","complex","disputed","",""
"Paris Basin","ItRomLR","Social Complexity variables","Professions","Professional soldiers","present",NA,"100BCE","","complex","disputed","simple",""
"Paris Basin","ItRomLR","Social Complexity variables","Professions","Professional soldiers","absent",NA,"100BCE","","complex","disputed","simple",""
"Paris Basin","ItRomLR","Social Complexity variables","Professions","Professional priesthood","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomLR","Social Complexity variables","Bureaucracy characteristics","Full-time bureaucrats","absent",NA,"","","simple","simple","",""
"Paris Basin","ItRomLR","Social Complexity variables","Bureaucracy characteristics","Examination system","absent",NA,"","","simple","simple","",""
"Paris Basin","ItRomLR","Social Complexity variables","Bureaucracy characteristics","Specialized government buildings","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomLR","Social Complexity variables","Law","Formal legal code","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomLR","Social Complexity variables","Law","Judges","absent",NA,"","","simple","simple","",""
"Paris Basin","ItRomLR","Social Complexity variables","Law","Courts","absent",NA,"","","simple","simple","",""
"Paris Basin","ItRomLR","Social Complexity variables","Specialized Buildings: polity owned","Communal buildings","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomLR","Social Complexity variables","Specialized Buildings: polity owned","Irrigation systems","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomLR","Social Complexity variables","Specialized Buildings: polity owned","Markets","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomLR","Social Complexity variables","Specialized Buildings: polity owned","Knowledge/information buildings","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomLR","Social Complexity variables","Specialized Buildings: polity owned","Roads","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomLR","Social Complexity variables","Information","Written records","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomLR","Social Complexity variables","Information","Script","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomLR","Social Complexity variables","Information","Phonetic alphabetic writing","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomLR","Social Complexity variables","Information","Calendar","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomLR","Social Complexity variables","Information","Religious literature","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomLR","Social Complexity variables","Information","Practical literature","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomLR","Social Complexity variables","Information","History","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomLR","Social Complexity variables","Information","Philosophy","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomLR","Social Complexity variables","Other","Indigenous coins","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomPr","Social Complexity variables","Hierarchical Complexity","Settlement hierarchy","7",NA,"","","simple","simple","",""
"Paris Basin","ItRomPr","Social Complexity variables","Hierarchical Complexity","Administrative levels","8",9,"","","complex","range","",""
"Paris Basin","ItRomPr","Social Complexity variables","Hierarchical Complexity","Religious levels","4",NA,"","","simple","simple","",""
"Paris Basin","ItRomPr","Social Complexity variables","Hierarchical Complexity","Military levels","9",NA,"","","simple","simple","",""
"Paris Basin","ItRomPr","Social Complexity variables","Professions","Professional military officers","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomPr","Social Complexity variables","Professions","Professional soldiers","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomPr","Social Complexity variables","Professions","Professional priesthood","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomPr","Social Complexity variables","Bureaucracy characteristics","Full-time bureaucrats","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomPr","Social Complexity variables","Bureaucracy characteristics","Examination system","absent",NA,"","","simple","simple","",""
"Paris Basin","ItRomPr","Social Complexity variables","Bureaucracy characteristics","Specialized government buildings","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomPr","Social Complexity variables","Law","Formal legal code","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomPr","Social Complexity variables","Law","Judges","absent",NA,"","","simple","simple","",""
"Paris Basin","ItRomPr","Social Complexity variables","Law","Courts","absent",NA,"","","simple","simple","",""
"Paris Basin","ItRomPr","Social Complexity variables","Specialized Buildings: polity owned","Communal buildings","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomPr","Social Complexity variables","Specialized Buildings: polity owned","Irrigation systems","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomPr","Social Complexity variables","Specialized Buildings: polity owned","Markets","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomPr","Social Complexity variables","Specialized Buildings: polity owned","Knowledge/information buildings","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomPr","Social Complexity variables","Specialized Buildings: polity owned","Roads","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomPr","Social Complexity variables","Information","Written records","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomPr","Social Complexity variables","Information","Script","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomPr","Social Complexity variables","Information","Phonetic alphabetic writing","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomPr","Social Complexity variables","Information","Calendar","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomPr","Social Complexity variables","Information","Religious literature","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomPr","Social Complexity variables","Information","Practical literature","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomPr","Social Complexity variables","Information","History","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomPr","Social Complexity variables","Information","Philosophy","present",NA,"","","simple","simple","",""
"Paris Basin","ItRomPr","Social Complexity variables","Other","Indigenous coins","present",NA,"","","simple","simple","",""
"Paris Basin","TrRomDm","Social Complexity variables","Hierarchical Complexity","Settlement hierarchy","7",NA,"","","simple","simple","",""
"Paris Basin","TrRomDm","Social Complexity variables","Hierarchical Complexity","Administrative levels","8",9,"","","complex","range","",""
"Paris Basin","TrRomDm","Social Complexity variables","Hierarchical Complexity","Religious levels","5",NA,"","","simple","simple","",""
"Paris Basin","TrRomDm","Social Complexity variables","Hierarchical Complexity","Military levels","6",8,"","","complex","range","",""
"Paris Basin","TrRomDm","Social Complexity variables","Professions","Professional military officers","present",NA,"","","simple","simple","",""
"Paris Basin","TrRomDm","Social Complexity variables","Professions","Professional soldiers","present",NA,"","","simple","simple","",""
"Paris Basin","TrRomDm","Social Complexity variables","Professions","Professional priesthood","present",NA,"","","simple","simple","",""
"Paris Basin","TrRomDm","Social Complexity variables","Bureaucracy characteristics","Full-time bureaucrats","present",NA,"","","simple","simple","",""
"Paris Basin","TrRomDm","Social Complexity variables","Bureaucracy characteristics","Examination system","absent",NA,"","","simple","simple","",""
"Paris Basin","TrRomDm","Social Complexity variables","Bureaucracy characteristics","Specialized government buildings","present",NA,"","","simple","simple","",""
"Paris Basin","TrRomDm","Social Complexity variables","Law","Formal legal code","present",NA,"","","simple","simple","",""
"Paris Basin","TrRomDm","Social Complexity variables","Law","Judges","present",NA,"","","simple","simple","",""
"Paris Basin","TrRomDm","Social Complexity variables","Law","Courts","present",NA,"","","simple","simple","",""
"Paris Basin","TrRomDm","Social Complexity variables","Specialized Buildings: polity owned","Communal buildings","present",NA,"","","simple","simple","",""
"Paris Basin","TrRomDm","Social Complexity variables","Specialized Buildings: polity owned","Irrigation systems","present",NA,"","","simple","simple","",""
"Paris Basin","TrRomDm","Social Complexity variables","Specialized Buildings: polity owned","Markets","present",NA,"","","simple","simple","",""
"Paris Basin","TrRomDm","Social Complexity variables","Specialized Buildings: polity owned","Knowledge/information buildings","present",NA,"","","simple","simple","",""
"Paris Basin","TrRomDm","Social Complexity variables","Specialized Buildings: polity owned","Roads","present",NA,"","","simple","simple","",""
"Paris Basin","TrRomDm","Social Complexity variables","Information","Written records","present",NA,"","","simple","simple","",""
"Paris Basin","TrRomDm","Social Complexity variables","Information","Script","present",NA,"","","simple","simple","",""
"Paris Basin","TrRomDm","Social Complexity variables","Information","Phonetic alphabetic writing","present",NA,"","","simple","simple","",""
"Paris Basin","TrRomDm","Social Complexity variables","Information","Calendar","present",NA,"","","simple","simple","",""
"Paris Basin","TrRomDm","Social Complexity variables","Information","Religious literature","present",NA,"","","simple","simple","",""
"Paris Basin","TrRomDm","Social Complexity variables","Information","Practical literature","present",NA,"","","simple","simple","",""
"Paris Basin","TrRomDm","Social Complexity variables","Information","History","present",NA,"","","simple","simple","",""
"Paris Basin","TrRomDm","Social Complexity variables","Information","Philosophy","present",NA,"","","simple","simple","",""
"Paris Basin","TrRomDm","Social Complexity variables","Other","Indigenous coins","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervE","Social Complexity variables","Hierarchical Complexity","Settlement hierarchy","4",NA,"","","simple","simple","",""
"Paris Basin","FrMervE","Social Complexity variables","Hierarchical Complexity","Administrative levels","4",NA,"","","simple","simple","",""
"Paris Basin","FrMervE","Social Complexity variables","Hierarchical Complexity","Religious levels","5",NA,"","","simple","simple","",""
"Paris Basin","FrMervE","Social Complexity variables","Hierarchical Complexity","Military levels","4",NA,"","","simple","simple","",""
"Paris Basin","FrMervE","Social Complexity variables","Professions","Professional military officers","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervE","Social Complexity variables","Professions","Professional soldiers","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervE","Social Complexity variables","Professions","Professional priesthood","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervE","Social Complexity variables","Bureaucracy characteristics","Full-time bureaucrats","absent",NA,"","","simple","simple","",""
"Paris Basin","FrMervE","Social Complexity variables","Bureaucracy characteristics","Examination system","absent",NA,"","","simple","simple","",""
"Paris Basin","FrMervE","Social Complexity variables","Bureaucracy characteristics","Specialized government buildings","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervE","Social Complexity variables","Law","Formal legal code","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervE","Social Complexity variables","Law","Judges","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervE","Social Complexity variables","Law","Courts","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervE","Social Complexity variables","Specialized Buildings: polity owned","Communal buildings","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervE","Social Complexity variables","Specialized Buildings: polity owned","Irrigation systems","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervE","Social Complexity variables","Specialized Buildings: polity owned","Markets","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervE","Social Complexity variables","Specialized Buildings: polity owned","Knowledge/information buildings","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervE","Social Complexity variables","Specialized Buildings: polity owned","Roads","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervE","Social Complexity variables","Information","Written records","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervE","Social Complexity variables","Information","Script","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervE","Social Complexity variables","Information","Phonetic alphabetic writing","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervE","Social Complexity variables","Information","Calendar","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervE","Social Complexity variables","Information","Religious literature","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervE","Social Complexity variables","Information","Practical literature","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervE","Social Complexity variables","Information","History","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervE","Social Complexity variables","Information","Philosophy","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervE","Social Complexity variables","Other","Indigenous coins","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervM","Social Complexity variables","Hierarchical Complexity","Settlement hierarchy","4",NA,"","","simple","simple","",""
"Paris Basin","FrMervM","Social Complexity variables","Hierarchical Complexity","Administrative levels","4",5,"","","complex","range","",""
"Paris Basin","FrMervM","Social Complexity variables","Hierarchical Complexity","Religious levels","5",NA,"","","simple","simple","",""
"Paris Basin","FrMervM","Social Complexity variables","Hierarchical Complexity","Military levels","4",NA,"","","simple","simple","",""
"Paris Basin","FrMervM","Social Complexity variables","Professions","Professional military officers","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervM","Social Complexity variables","Professions","Professional soldiers","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervM","Social Complexity variables","Professions","Professional priesthood","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervM","Social Complexity variables","Bureaucracy characteristics","Full-time bureaucrats","absent",NA,"","","simple","simple","",""
"Paris Basin","FrMervM","Social Complexity variables","Bureaucracy characteristics","Examination system","absent",NA,"","","simple","simple","",""
"Paris Basin","FrMervM","Social Complexity variables","Bureaucracy characteristics","Specialized government buildings","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervM","Social Complexity variables","Law","Formal legal code","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervM","Social Complexity variables","Law","Judges","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervM","Social Complexity variables","Law","Courts","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervM","Social Complexity variables","Specialized Buildings: polity owned","Communal buildings","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervM","Social Complexity variables","Specialized Buildings: polity owned","Irrigation systems","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervM","Social Complexity variables","Specialized Buildings: polity owned","Markets","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervM","Social Complexity variables","Specialized Buildings: polity owned","Knowledge/information buildings","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervM","Social Complexity variables","Specialized Buildings: polity owned","Roads","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervM","Social Complexity variables","Information","Written records","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervM","Social Complexity variables","Information","Script","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervM","Social Complexity variables","Information","Phonetic alphabetic writing","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervM","Social Complexity variables","Information","Calendar","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervM","Social Complexity variables","Information","Religious literature","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervM","Social Complexity variables","Information","Practical literature","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervM","Social Complexity variables","Information","History","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervM","Social Complexity variables","Information","Philosophy","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervM","Social Complexity variables","Other","Indigenous coins","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervL","Social Complexity variables","Hierarchical Complexity","Settlement hierarchy","4",NA,"","","simple","simple","",""
"Paris Basin","FrMervL","Social Complexity variables","Hierarchical Complexity","Administrative levels","4",5,"","","complex","range","",""
"Paris Basin","FrMervL","Social Complexity variables","Hierarchical Complexity","Religious levels","5",NA,"","","simple","simple","",""
"Paris Basin","FrMervL","Social Complexity variables","Hierarchical Complexity","Military levels","4",NA,"","","simple","simple","",""
"Paris Basin","FrMervL","Social Complexity variables","Professions","Professional military officers","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervL","Social Complexity variables","Professions","Professional soldiers","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervL","Social Complexity variables","Professions","Professional priesthood","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervL","Social Complexity variables","Bureaucracy characteristics","Full-time bureaucrats","absent",NA,"","","simple","simple","",""
"Paris Basin","FrMervL","Social Complexity variables","Bureaucracy characteristics","Examination system","absent",NA,"","","simple","simple","",""
"Paris Basin","FrMervL","Social Complexity variables","Bureaucracy characteristics","Specialized government buildings","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervL","Social Complexity variables","Law","Formal legal code","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervL","Social Complexity variables","Law","Judges","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervL","Social Complexity variables","Law","Courts","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervL","Social Complexity variables","Specialized Buildings: polity owned","Communal buildings","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervL","Social Complexity variables","Specialized Buildings: polity owned","Irrigation systems","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervL","Social Complexity variables","Specialized Buildings: polity owned","Markets","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervL","Social Complexity variables","Specialized Buildings: polity owned","Knowledge/information buildings","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervL","Social Complexity variables","Specialized Buildings: polity owned","Roads","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervL","Social Complexity variables","Information","Written records","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervL","Social Complexity variables","Information","Script","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervL","Social Complexity variables","Information","Phonetic alphabetic writing","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervL","Social Complexity variables","Information","Calendar","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervL","Social Complexity variables","Information","Religious literature","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervL","Social Complexity variables","Information","Practical literature","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervL","Social Complexity variables","Information","History","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervL","Social Complexity variables","Information","Philosophy","present",NA,"","","simple","simple","",""
"Paris Basin","FrMervL","Social Complexity variables","Other","Indigenous coins","present",NA,"","","simple","simple","",""
"Paris Basin","FrCarlE","Social Complexity variables","Hierarchical Complexity","Settlement hierarchy","4",NA,"","","simple","simple","",""
"Paris Basin","FrCarlE","Social Complexity variables","Hierarchical Complexity","Administrative levels","4",NA,"","","simple","simple","",""
"Paris Basin","FrCarlE","Social Complexity variables","Hierarchical Complexity","Religious levels","6",7,"","","complex","range","",""
"Paris Basin","FrCarlE","Social Complexity variables","Hierarchical Complexity","Military levels","4",5,"","","complex","range","",""
"Paris Basin","FrCarlE","Social Complexity variables","Professions","Professional military officers","present",NA,"","","simple","simple","",""
"Paris Basin","FrCarlE","Social Complexity variables","Professions","Professional soldiers","present",NA,"","","simple","simple","",""
"Paris Basin","FrCarlE","Social Complexity variables","Professions","Professional priesthood","present",NA,"","","simple","simple","",""
"Paris Basin","FrCarlE","Social Complexity variables","Bureaucracy characteristics","Full-time bureaucrats","present",NA,"","","simple","simple","",""
"Paris Basin","FrCarlE","Social Complexity variables","Bureaucracy characteristics","Examination system","absent",NA,"","","simple","simple","",""
"Paris Basin","FrCarlE","Social Complexity variables","Bureaucracy characteristics","Specialized government buildings","present",NA,"","","simple","simple","",""
"Paris Basin","FrCarlE","Social Complexity variables","Law","Formal legal code","present",NA,"","","simple","simple","",""
"Paris Basin","FrCarlE","Social Complexity variables","Law","Judges","present",NA,"","","simple","simple","",""
"Paris Basin","FrCarlE","Social Complexity variables","Law","Courts","absent",NA,"","","simple","simple","",""
"Paris Basin","FrCarlE","Social Complexity variables","Specialized Buildings: polity owned","Communal buildings","present",NA,"","","simple","simple","",""
